ID,age,gender,date_time,condition,chain,generation,phase,scene,map_code,dur,sec,desc,men_rot
B11,25,F,16-09-19/12:00-12:45,B,1,1,1,NaN,NaN,NaN,NaN,NaN,"1,927808035"
B11,25,F,16-09-19/12:00-12:45,B,1,1,2,1,B1121,3:21,201,Hej Drej højre om og ta’ dén vej! Fortsæt hele vejen til den røde væg (enden) Vejen ved din venstre arm skal du tage! Fortsæt nu igen til du møder en blindgyde (med en rød væg) Drej af til venstre før blindgyden. Fortsæt nu ligeud og gå forbi én vej på højre hånd! Så kommer der en stor kasse med grøn baggrund og lilla prikker på højre hånd (mener det er nummer 2 ved efter blindgyden beskrevet ved punkt) Sejr! Blomsten er din :) ,"1,927808035"
B11,25,F,16-09-19/12:00-12:45,M,1,1,3,2,M1132,3:42,222,"På startpodiet med alle veje foran dig, skal du tage vejen ved din højre arm. Der skal du fortsætte hele vejen ned indtil du møder den røde væg (enden) Drej så 90 grader venstre om og du vil finde blomsten ved nummer 4 åbning på venstre hånd lige før en kasse med lyseblå baggrund og mørkeblå pletter.","1,927808035"
B12,24,F,16-09-19/14:00-14:15,B,1,2,1,1,NaN,5:25,325,NaN,"2,419618121"
B12,24,F,16-09-19/14:00-14:15,B,1,2,2,2,B1222,3:48,228,Vend dig om og gå til højre; Fortsæt et stykke ligeud; Gå så til venstre; På en af de lange gange til højre vil blomsten være (det er efter den lange stjernevæg) ,"2,419618121"
B12,24,F,16-09-19/14:00-14:15,M,1,2,3,3,M1233,2:09,129,Vend dig om så du står modsat væggen du kigger ind i; Fortsæt lige ud - enten første eller anden vej; Gå til venstre ad denne vej; fortsæt lige ud et godt stykke (dobbelt så langt af det forrige); gå til højre og find blomsten,"2,419618121"
B13,22,M,16-09-19/15:00-15:15,B,1,3,1,2,NaN,0:56,56,NaN,"2,14344575"
B13,22,M,16-09-19/15:00-15:15,B,1,3,2,3,B1323,2:15,135,Fra startpositionen (ved porten) skal man i starten kigge til venstre og så gå så langt som muligt i den retning (indtil vejen drejer til højre). Ca. dér er blomsten.,"2,14344575"
B13,22,M,16-09-19/15:00-15:15,M,1,3,3,1,M1331,0:39,39,"Fra startpositionen kan man enten gå til venstre, højre eller ligeud.; For at finde blomsten skal man gå ligeud næsten hele vejen igennem ‘byen’.; Når man næsten er igennem byen er blomsten placeret “klokken tre” / lidt til højre ift. der hvor man kommer fra.","2,14344575"
B14,25,F,17-09-19/08:30-09:15,B,1,4,1,3,NaN,2:58,178,NaN,"4,256823975"
B14,25,F,17-09-19/08:30-09:15,B,1,4,2,4,B1424,3:53,233,"Gå til højre fra startpositionen Tag anden vej til venstre Gå forbi bygningen, som er blå med lilla streger Du kommer til en åben plads, hvor blomsten er på højre hånd","4,256823975"
B14,25,F,17-09-19/08:30-09:15,M,1,4,3,2,M1432,8:40,520,Gå til højre fra startpositionen Tag anden vej til venstre Gå forbi den åbne plads Efter pladsen tag anden vej til højre og der er blomsten. Blomsten er imellem 2 bygninger: på højre hånd har du en lilla bygning med brune pile og til venstre en sart grøn bygning med lilla ovale cirkler. Bag dig en hvid bygning med lilla stjerner.,"4,256823975"
B15,24,M,17-09-19/09:30-10:15,B,1,5,1,4,NaN,0:32,32,NaN,"3,131850798"
